model,seed,domain,method,n,coverage,average_set_size,singleton_fraction,empty_fraction,singleton_selective_risk,point_error,coverage_cluster_ci_low,coverage_cluster_ci_high,set_size_cluster_ci_low,set_size_cluster_ci_high,n_groups,one_image_per_group_coverage,one_image_per_group_ci_low,one_image_per_group_ci_high,historical_image_exact_ci_low,historical_image_exact_ci_high,quality_clip_low,quality_clip_high
resnet50,2026,test,pooled_lac,1480,0.9013513513513514,1.2662162162162163,0.7608108108108108,0.0,0.09769094138543517,0.1864864864864865,0.8824306472919419,0.919104025193598,1.2379951268797518,1.2951688536936032,1094,0.9213893967093236,0.9038252830006221,0.9366435765005477,0.8850157680535651,0.9160730160417093,,
resnet50,2026,test,quality_lac,1480,0.8945945945945946,1.2533783783783783,0.775,0.0,0.1054925893635571,0.1864864864864865,0.8758387033521395,0.9130156258803729,1.2252556751919499,1.2819503109389878,1094,0.9177330895795247,0.8998467985501862,0.9333311490489129,0.8778216623693318,0.9097820588658374,,
resnet50,2026,test,pooled_aps,1480,0.8898648648648648,2.8277027027027026,0.07905405405405405,0.09662162162162162,0.02564102564102564,0.1864864864864865,0.8728282599938787,0.906085121842164,2.75,2.904276985743381,1094,0.8592321755027422,0.8372009122358712,0.8793100249230189,0.8727977526446984,0.9053663249638726,,
resnet50,2026,test,quality_aps,1480,0.8831081081081081,2.787837837837838,0.0804054054054054,0.10067567567567567,0.025210084033613446,0.1864864864864865,0.8650990284882902,0.9002677376171352,2.710210017217466,2.8619785719777897,1094,0.8519195612431444,0.8294716307053603,0.8724549504079442,0.8656366096492248,0.8990421388846671,,
resnet50,2026,test,pooled_raps,1480,0.8905405405405405,2.4864864864864864,0.07094594594594594,0.08648648648648649,0.01904761904761905,0.1864864864864865,0.8731335563561503,0.9073590161516598,2.4291525423728815,2.5417528347650733,1094,0.8665447897623401,0.8449488863761647,0.8861462585146312,0.8735148774016618,0.9059977253401167,,
resnet50,2026,test,quality_raps,1480,0.8831081081081081,2.4567567567567568,0.07094594594594594,0.09256756756756757,0.02857142857142857,0.1864864864864865,0.8656207366984994,0.9002025192863924,2.3986618683901293,2.513812245565571,1094,0.856489945155393,0.8343003053858697,0.8767415146343862,0.8656366096492248,0.8990421388846671,,
resnet50,2026,test,class_conditional_lac,1480,0.9033783783783784,1.5148648648648648,0.6128378378378379,0.0,0.08930540242557883,0.1864864864864865,0.8857331208345407,0.9203855315631608,1.4723755975339161,1.5582833462265595,1094,0.9250457038391224,0.9078137888717656,0.9399458281793521,0.8871781541685302,0.9179561124448822,,
resnet50,2026,test,confidence_mondrian_control,1480,0.8871621621621621,1.322972972972973,0.6614864864864864,0.030405405405405407,0.08375893769152196,0.1864864864864865,0.867961839134791,0.9054872487721065,1.287395919043319,1.359760775936419,1094,0.9021937842778793,0.8830372107723378,0.9191529764682518,0.8699311195583578,0.9028388429666752,,
resnet50,2026,external,pooled_lac,2106,0.36562203228869894,1.6861348528015194,0.47293447293447294,0.0,0.6877510040160643,0.7431149097815765,0.3424265877240982,0.38880923237451215,1.6525661396597342,1.719382268364583,1297,0.37856592135697764,0.35208445217582385,0.40559916529539397,0.3450148175195789,0.3866039679087993,0.31718898385565053,0.017094017094017096
resnet50,2026,external,quality_lac,2106,0.3898385565052232,1.7853751187084521,0.44491927825261157,0.0,0.6862326574172892,0.7431149097815765,0.3673752310536044,0.41250134762817436,1.7488359097791941,1.8233369875289884,1297,0.40323824209714726,0.37640094900580445,0.43051511093534467,0.368936940548521,0.41104730684051916,0.31718898385565053,0.017094017094017096
resnet50,2026,external,pooled_aps,2106,0.7701804368471035,3.8561253561253563,0.007597340930674264,0.004273504273504274,0.375,0.7431149097815765,0.7512216593518806,0.7882531344355898,3.8308963278293775,3.879368721067301,1297,0.7702390131071704,0.7463609049284938,0.7928857002218375,0.7516055020931596,0.7880003366186777,0.31718898385565053,0.017094017094017096
resnet50,2026,external,quality_aps,2106,0.7635327635327636,3.799145299145299,0.014245014245014245,0.006647673314339981,0.3333333333333333,0.7431149097815765,0.7451264560679132,0.7822618488972314,3.7695548897013675,3.8273615635179152,1297,0.7656129529683886,0.7415860286868762,0.7884297157688489,0.7447882231462,0.781540969610372,0.31718898385565053,0.017094017094017096
resnet50,2026,external,pooled_raps,2106,0.6680911680911681,3.314339981006648,0.006172839506172839,0.002849002849002849,0.38461538461538464,0.7431149097815765,0.6465219398331215,0.6894868831198881,3.287835110527799,3.341568284410968,1297,0.6761757902852737,0.6499464561485271,0.7016040670081571,0.6475188180106035,0.6881946275162918,0.31718898385565053,0.017094017094017096
resnet50,2026,external,quality_raps,2106,0.6657169990503324,3.292022792022792,0.012345679012345678,0.0052231718898385565,0.38461538461538464,0.7431149097815765,0.6438928417636888,0.6870820733499471,3.2627833048057573,3.320320408378611,1297,0.6723207401696222,0.6460223436149051,0.6978356541824573,0.6451121034334055,0.6858596392926846,0.31718898385565053,0.017094017094017096
resnet50,2026,external,class_conditional_lac,2106,0.5213675213675214,2.335232668566002,0.24738841405508072,0.0,0.6353166986564299,0.7431149097815765,0.4978742498973335,0.5448663225634779,2.2903692211762667,2.3810886763732175,1297,0.5250578257517348,0.4974645608526874,0.5525372934654882,0.4997779322006044,0.5428975577995743,0.31718898385565053,0.017094017094017096
resnet50,2026,external,confidence_mondrian_control,2106,0.4131054131054131,1.9226020892687559,0.37037037037037035,0.006172839506172839,0.6756410256410257,0.7431149097815765,0.3899277747090024,0.43670068047770444,1.88041260448991,1.9635537146231372,1297,0.42405551272166536,0.39697260361513703,0.4514833803974903,0.39197179607180127,0.43448126177919644,0.31718898385565053,0.017094017094017096
efficientnet_b0,2026,test,pooled_lac,1480,0.9108108108108108,1.3222972972972973,0.722972972972973,0.0,0.09906542056074766,0.19932432432432431,0.8928565448282462,0.9286195400641355,1.2898746708476554,1.3539894665181826,1094,0.9360146252285192,0.9198465969917546,0.9497841576263478,0.895124566277273,0.9248429717777642,,
efficientnet_b0,2026,test,quality_lac,1480,0.9013513513513514,1.3128378378378378,0.7358108108108108,0.0,0.10376492194674013,0.19932432432432431,0.8829002611215925,0.9192128200805418,1.2810143934201508,1.3456147218014707,1094,0.9259597806215722,0.9088125581509814,0.9407697220068408,0.8850157680535651,0.9160730160417093,,
efficientnet_b0,2026,test,pooled_aps,1480,0.9047297297297298,2.8027027027027027,0.11351351351351352,0.06486486486486487,0.13690476190476192,0.19932432432432431,0.8885054132034518,0.9208732375330179,2.7295460213480527,2.8738338799074774,1094,0.9021937842778793,0.8830372107723378,0.9191529764682518,0.888620859226919,0.9192103856099023,,
efficientnet_b0,2026,test,quality_aps,1480,0.904054054054054,2.770945945945946,0.11689189189189189,0.06621621621621622,0.1329479768786127,0.19932432432432431,0.8878563569249034,0.9200268932044187,2.6984316453073665,2.8418238329943293,1094,0.9021937842778793,0.8830372107723378,0.9191529764682518,0.8878993938787941,0.9185833628817807,,
efficientnet_b0,2026,test,pooled_raps,1480,0.902027027027027,2.4574324324324324,0.10337837837837838,0.06351351351351352,0.1437908496732026,0.19932432432432431,0.8850102669404517,0.9180327868852459,2.4039760470596043,2.510124568593615,1094,0.9012797074954296,0.8820529208266914,0.9183143989681817,0.8857363433016127,0.9167009369450949,,
efficientnet_b0,2026,test,quality_raps,1480,0.902027027027027,2.4425675675675675,0.10743243243243243,0.06486486486486487,0.13836477987421383,0.19932432432432431,0.8854507993093769,0.9178451178451178,2.3873133663542747,2.496027215827844,1094,0.9021937842778793,0.8830372107723378,0.9191529764682518,0.8857363433016127,0.9167009369450949,,
efficientnet_b0,2026,test,class_conditional_lac,1480,0.9054054054054054,1.6864864864864866,0.527027027027027,0.0,0.08846153846153847,0.19932432432432431,0.8869328505493824,0.9240333657381562,1.6382691007437458,1.7359140562625568,1094,0.9369287020109689,0.9208543720999904,0.95059888535,0.8893425523484965,0.9198371784574869,,
efficientnet_b0,2026,test,confidence_mondrian_control,1480,0.9006756756756756,1.4222972972972974,0.5777027027027027,0.03445945945945946,0.07134502923976609,0.19932432432432431,0.8822751101555449,0.9173942243116185,1.382554945054945,1.461331584846447,1094,0.916819012797075,0.8988536716166627,0.9325015258467211,0.8842954102589153,0.9154448757502792,,
efficientnet_b0,2026,external,pooled_lac,2106,0.46391263057929727,1.7298195631528965,0.48148148148148145,0.0,0.6321499013806706,0.6809116809116809,0.4393795313404535,0.4877374149573822,1.6936801030673114,1.7673962346448615,1297,0.47340015420200465,0.4459285206638682,0.5009925881796471,0.4424392487151018,0.48548659284989387,0.31718898385565053,0.017094017094017096
efficientnet_b0,2026,external,quality_lac,2106,0.4781576448243115,1.8228869895536561,0.45821462488129155,0.0,0.644559585492228,0.6809116809116809,0.4538094269301785,0.5016123093618589,1.782778817632785,1.8642516421645292,1297,0.49036237471087124,0.4628188107421406,0.5179497059764153,0.45662914616352757,0.49974701965001506,0.31718898385565053,0.017094017094017096
efficientnet_b0,2026,external,pooled_aps,2106,0.7559354226020892,3.7027540360873696,0.013295346628679962,0.007597340930674264,0.35714285714285715,0.6809116809116809,0.7359033976372417,0.7756837580487461,3.6724785884570603,3.7324275581289412,1297,0.7594448727833462,0.7352254474786597,0.782482462910464,0.7370045500946364,0.7741513176648642,0.31718898385565053,0.017094017094017096
efficientnet_b0,2026,external,quality_aps,2106,0.7540360873694207,3.691832858499525,0.013295346628679962,0.009021842355175688,0.39285714285714285,0.6809116809116809,0.733272195145803,0.7737297033990042,3.6604466658020374,3.7228627717087774,1297,0.756360832690825,0.7320476436917167,0.7795063415978747,0.7350598537004152,0.7723026804012723,0.31718898385565053,0.017094017094017096
efficientnet_b0,2026,external,pooled_raps,2106,0.6709401709401709,3.12298195631529,0.011870845204178538,0.006647673314339981,0.32,0.6809116809116809,0.6488260872519245,0.6928375762749065,3.0956933732405987,3.1497881337938685,1297,0.674633770239013,0.6483765760559702,0.7000969373812618,0.650407635193005,0.6909958528846343,0.31718898385565053,0.017094017094017096
efficientnet_b0,2026,external,quality_raps,2106,0.6695156695156695,3.113485280151947,0.013295346628679962,0.008072174738841406,0.32142857142857145,0.6809116809116809,0.6464595141128086,0.6917229789827156,3.0860475027676793,3.1403687492820764,1297,0.6730917501927525,0.6468070095927865,0.6985894935578884,0.6489631227088932,0.6895953442052228,0.31718898385565053,0.017094017094017096
efficientnet_b0,2026,external,class_conditional_lac,2106,0.6096866096866097,2.5707502374169042,0.20512820512820512,0.0,0.6412037037037037,0.6809116809116809,0.5872389642422899,0.6320585376794258,2.519691296229871,2.6222656712600827,1297,0.6191210485736315,0.5920619293630218,0.645638914957511,0.5884739570243444,0.6305934528115792,0.31718898385565053,0.017094017094017096
efficientnet_b0,2026,external,confidence_mondrian_control,2106,0.49667616334283,1.9515669515669516,0.33475783475783477,0.009021842355175688,0.6212765957446809,0.6809116809116809,0.47261187935307253,0.5209036402139217,1.9117629220538288,1.9920487365252466,1297,0.5057825751734772,0.4782007680593307,0.5333381219662141,0.47510196829636964,0.5182596220294287,0.31718898385565053,0.017094017094017096
vit_b_16,2026,test,pooled_lac,1480,0.904054054054054,1.4641891891891892,0.6493243243243243,0.0,0.10197710718002082,0.2141891891891892,0.885401257755875,0.9218221647264911,1.4211572647927095,1.5068779968046127,1094,0.9213893967093236,0.9038252830006221,0.9366435765005477,0.8878993938787941,0.9185833628817807,,
vit_b_16,2026,test,quality_lac,1480,0.8993243243243243,1.45,0.6655405405405406,0.0,0.10253807106598985,0.2141891891891892,0.8807947019867549,0.9168918918918919,1.4073058751721577,1.493234328713016,1094,0.9149908592321755,0.896869148818889,0.9308405234206142,0.8828553392190177,0.9141879449417014,,
vit_b_16,2026,test,pooled_aps,1480,0.9013513513513514,2.4527027027027026,0.19797297297297298,0.08445945945945946,0.0034129692832764505,0.2141891891891892,0.8851252309503437,0.9163880153486627,2.372040050983841,2.532238968546035,1094,0.8729433272394881,0.851744710818587,0.8921114779001253,0.8850157680535651,0.9160730160417093,,
